dataset,group_a,group_b,n_a,n_b,n_pos_a,n_pos_b,prev_a,prev_b,auroc,best_model,sensitivity_a,sensitivity_b,sensitivity_gap,sensitivity_ci_low,sensitivity_ci_high,fnr_a,fnr_b,fnr_gap,fnr_ci_low,fnr_ci_high,ppv_raw_a,ppv_raw_b,ppv_gap_raw,ppv_gap_raw_ci_low,ppv_gap_raw_ci_high,ppr_a,ppr_b,ppr_gap,ppr_ci_low,ppr_ci_high,ppv_gap_adj,ppv_gap_adj_ci_low,ppv_gap_adj_ci_high,ppv_attenuation_pct,exploratory,note
CDC Diabetes (BRFSS 2015),18_44,65_plus,16273,26769,781,6170,0.047993609045658456,0.23049049273413277,0.8078880623776579,xgboost,0.5992317541613317,0.8059967585089141,-0.20676500434758238,-0.2405843897108738,-0.16960143270537986,0.4007682458386683,0.19400324149108594,0.20676500434758238,0.16960143270537986,0.2405843897108738,0.18675179569034317,0.34888452364248634,-0.16213272795214317,-0.18015093129148793,-0.14541994317111714,0.15399741903766975,0.5324816018528895,-0.3784841828152198,-0.38694531504539553,-0.37058398321623587,0.2110708487943707,0.19281773214943068,0.22840490057845608,230.18398657714107,False,
Diabetes-130 (readmission),under_30,60_plus,720,20366,80,2319,0.1111111111111111,0.11386624766768143,0.6529590054791965,calibrated_ensemble,0.675,0.5713669685209142,0.10363303147908587,-0.07967582517224174,0.2295775478038446,0.32499999999999996,0.4286330314790858,-0.10363303147908587,-0.2295775478038446,0.07967582517224174,0.26865671641791045,0.16836086404066072,0.10029585237724972,-0.00047061892550683384,0.18028908298553561,0.2791666666666667,0.3864283609938132,-0.10726169432714655,-0.17733928324964418,-0.04118470216422449,0.10569784276354033,0.05482979652449254,0.15736248493886038,-5.386055612720381,False,
BRFSS 2022 (heart disease),18_44,65_plus,39740,47004,580,8116,0.01459486663311525,0.17266615607182367,0.8174340729579099,xgboost,0.43103448275862066,0.8114834894036471,-0.38044900664502646,-0.42165258473354933,-0.3402494489376662,0.5689655172413793,0.18851651059635288,0.38044900664502646,0.34024944893766623,0.4216525847335493,0.06871907641561298,0.24669438513690678,-0.1779753087212938,-0.187829777295917,-0.1679281763488322,0.09154504277805738,0.5679729384733214,-0.47642789569526406,-0.48204202138382507,-0.47117926278490385,0.20813936669432848,0.18388367903120179,0.2290036287265623,216.948450990059,False,
NHANES 2017-18 (diabetes),under_45,65_plus,739,425,34,151,0.046008119079837616,0.3552941176470588,0.7861082737487233,logistic_regression,0.47058823529411764,0.7814569536423841,-0.31086871834826646,-0.48891746569497335,-0.13048196989146932,0.5294117647058824,0.2185430463576159,0.31086871834826646,0.13048196989146932,0.48891746569497335,0.15384615384615385,0.4097222222222222,-0.25587606837606836,-0.34444449409598904,-0.16472312409812415,0.14073071718538566,0.6776470588235294,-0.5369163416381437,-0.5853356682321101,-0.4866547799092574,0.2237790894302663,0.11237425957252181,0.3267533732291789,187.4560449714945,True,NHANES age: sensitivity gap was negative in 10/10 seeds under both legacy fixed-logistic and corrected model-selection protocols; magnitude remains highly imprecise (26-36 under_45 test positives per split)
CCHS 2019-20 (diabetes),18_34,65_plus,4564,14101,15,2418,0.003286590709903593,0.17147720019856746,0.749082001889171,l1_logistic_regression,0.26666666666666666,0.7402812241521919,-0.4736145574855252,-0.6722920990175244,-0.23841429758233715,0.7333333333333334,0.2597187758478081,0.4736145574855253,0.23841429758233715,0.6722920990175244,0.0196078431372549,0.2409476376362902,-0.2213397944990353,-0.24077964682239686,-0.1986978746292017,0.044697633654688866,0.5268420679384441,-0.48214443428375525,-0.4931356989587016,-0.4725497298163412,0.2892816796343736,0.003983448129361821,0.44734981429021387,230.69573877987608,False,
